Age_GTS2004	d18O_adj	d18O_adj_5pt_average	temp_C
0.02884	4.08	4.06	1.349704
0.02891	4.1	4.0575	1.357612875
0.02904	NA	4.0275	1.452655875
0.02912	4.02	4.035	1.4288715
0.02939	3.91	4.0375	1.420946875
0.02944	4.11	4.04	1.413024
0.02944	4.11	3.968	1.64190336
0.02951	4.05	3.982	1.59728536
0.02954	3.66	3.97	1.635526
0.02964	3.98	3.97	1.635526
0.02977	4.05	3.974	1.62277464
0.0299	4.11	4.0525	1.373435875
0.03003	4.07	3.9525	1.691365875
0.03004	NA	3.96	1.667424
0.03004	3.58	3.9475	1.707335875
0.03045	4.08	3.925	1.7792875
0.03058	4.06	3.94	1.731304
0.03084	3.98	4.024	1.46376064
0.03095	4	4.014	1.49550744
0.03097	4	4.008	1.51456896
0.0312	4.03	4.008	1.51456896
0.0312	4.03	3.954	1.68657624
0.03123	3.98	3.96	1.667424
0.03136	3.73	3.958	1.67380696
0.03149	4.03	3.944	1.71851904
0.03164	4.02	3.935	1.7472915
0.03191	3.96	3.9575	1.675402875
0.03204	NA	3.9325	1.755287875
0.03218	3.82	3.9025	1.851380875
0.03272	3.93	3.9725	1.627555875
0.03276	3.9	4.026	1.45741464
0.03296	4.24	4.034	1.43204184
0.03296	4.24	3.976	1.61640064
0.033	3.86	3.992	1.56544896
0.03304	3.64	3.914	1.81451544
0.03327	3.98	3.846	2.03304024
0.03329	3.85	3.86	1.987944
0.03329	3.9	3.922	1.78889176
0.03354	3.93	3.9075	1.835347875
0.03381	3.95	3.9525	1.691365875
0.03404	NA	3.955	1.6833835
0.03409	4.03	3.9525	1.691365875
0.03436	3.91	3.985	1.5877315
0.03463	3.92	4.004	1.52728224
0.03473	4.08	3.9975	1.547950875
0.03473	4.08	3.965	1.6514715
0.03504	NA	3.945	1.7153235
0.03546	3.78	3.905	1.8433635
0.03573	3.84	3.865	1.9718515
0.03592	3.92	3.858	1.99438296
0.036	3.92	3.894	1.87865304
0.03605	3.83	3.922	1.78889176
0.03627	3.96	3.934	1.75048984
0.0365	3.98	3.936	1.74409344
0.0365	3.98	3.94	1.731304
0.03655	3.93	3.92	1.795296
0.0368	3.85	3.905	1.8433635
0.03704	3.86	3.795	2.1977835
0.03705	NA	3.7775	2.254480875
0.03705	3.54	3.765	2.2950315
0.03729	3.86	3.76	2.311264
0.03754	3.8	3.814	2.13632344
0.0377	3.84	3.8825	1.915582875
0.03804	4.03	3.83	2.084646
0.03805	NA	3.7925	2.205877875
0.03826	3.65	3.8125	2.141171875
0.03826	3.65	3.76	2.311264
0.03828	3.92	3.792	2.20749696
0.03853	3.82	3.83	2.084646
0.03878	3.92	3.875	1.9396875
0.03903	3.84	3.91	1.827334
0.03905	NA	3.93	1.763286
0.03905	4.06	3.9	1.8594
0.03928	3.9	3.9225	1.787290875
0.03944	3.8	3.88	1.923616
0.03952	3.93	3.842	2.04593496
0.03961	3.71	3.864	1.97506944
0.03977	3.87	3.906	1.84015704
0.04002	4.01	3.904	1.84657024
0.04002	4.01	3.936	1.74409344
0.04002	3.92	3.936	1.74409344
0.04052	3.87	3.9	1.8594
0.04079	3.87	3.8725	1.947725875
0.04101	3.83	3.8075	2.157337875
0.04105	NA	3.775	2.2625875
0.04105	3.66	3.78	2.246376
0.04121	3.74	3.77	2.278806
0.04127	3.89	3.836	2.06528544
0.04155	3.79	3.924	1.78248864
0.04179	4.1	3.958	1.67380696
0.04179	4.1	3.892	1.88507296
0.04182	3.91	3.9	1.8594
0.04205	3.56	3.822	2.11047576
0.0421	3.83	3.778	2.25285976
0.04259	3.71	3.772	2.27231776
0.04267	3.88	3.825	2.1007875
0.04267	3.88	3.8325	2.076577875
0.04306	NA	3.8975	1.867420875
0.04321	3.86	3.8775	1.931650875
0.04348	3.97	3.8475	2.028205875
0.04376	3.8	3.824	2.10401664
0.04403	3.76	3.818	2.12339736
0.04406	3.73	3.776	2.25934464
0.04431	3.83	3.808	2.15572096
0.04458	3.76	3.828	2.09110176
0.04481	3.96	3.8525	2.012095875
0.04486	3.86	3.8525	2.012095875
0.04506	NA	3.85	2.02015
0.04513	3.83	3.8075	2.157337875
0.04541	3.75	3.7875	2.222071875
0.04579	3.79	3.7875	2.222071875
0.04596	3.78	3.7575	2.319382875
0.04606	NA	3.7875	2.222071875
0.04606	3.71	3.8075	2.157337875
0.0462	3.87	3.8025	2.173510875
0.0462	3.87	3.816	2.12985984
0.04623	3.76	3.8	2.1816
0.04682	3.87	3.716	2.45441184
0.04706	3.63	3.71	2.473974
0.04706	3.45	3.696	2.51965824
0.04711	3.84	3.69	2.539254
0.04733	3.69	3.662	2.63083416
0.0474	3.84	3.754	2.33075224
0.04766	3.49	3.7325	2.400667875
0.0477	3.91	3.77	2.278806
0.04806	NA	3.7375	2.384396875
0.04828	3.84	3.815	2.1330915
0.04886	3.71	3.805	2.1654235
0.04886	3.8	3.798	2.18807256
0.04916	3.87	3.772	2.27231776
0.04945	3.77	3.79	2.213974
0.04961	3.71	3.79	2.213974
0.04973	3.8	3.764	2.29827744
0.04973	3.8	3.782	2.23989336
0.04974	3.74	3.8	2.1816
0.05003	3.86	3.775	2.2625875
0.05006	NA	3.76	2.311264
0.05022	3.7	3.7725	2.270695875
0.05032	3.74	3.8025	2.173510875
0.05048	3.79	3.792	2.20749696
0.05056	3.98	3.804	2.16865824
0.05062	3.75	3.82	2.116936
0.05092	3.76	3.875	1.9396875
0.05107	NA	3.8825	1.915582875
0.0515	4.01	3.885	1.9075515
0.0515	4.01	3.7675	2.286917875
0.0518	3.76	3.652	2.66359456
0.05207	3.29	3.614	2.78833944
0.05207	3.19	3.568	2.93988736
0.05208	3.82	3.578	2.90689176
0.0521	3.78	3.676	2.58501664
0.0524	3.81	3.814	2.13632344
